suburb_slug,rental_type,bedrooms,median_weekly_rent,listing_count,source,collected_at
auckland-cbd,flat_room,1,340,28,mock_seed,2026-05-18
auckland-cbd,one_bedroom,1,530,22,mock_seed,2026-05-18
auckland-cbd,two_bedroom,2,720,18,mock_seed,2026-05-18
auckland-cbd,three_bedroom,3,930,9,mock_seed,2026-05-18
mount-eden,flat_room,1,350,24,mock_seed,2026-05-18
mount-eden,one_bedroom,1,540,18,mock_seed,2026-05-18
mount-eden,two_bedroom,2,740,15,mock_seed,2026-05-18
mount-eden,three_bedroom,3,920,10,mock_seed,2026-05-18
newmarket,flat_room,1,370,20,mock_seed,2026-05-18
newmarket,one_bedroom,1,560,16,mock_seed,2026-05-18
newmarket,two_bedroom,2,760,13,mock_seed,2026-05-18
newmarket,three_bedroom,3,980,7,mock_seed,2026-05-18
ponsonby,flat_room,1,390,18,mock_seed,2026-05-18
ponsonby,one_bedroom,1,610,14,mock_seed,2026-05-18
ponsonby,two_bedroom,2,850,12,mock_seed,2026-05-18
ponsonby,three_bedroom,3,1150,8,mock_seed,2026-05-18
parnell,flat_room,1,385,16,mock_seed,2026-05-18
parnell,one_bedroom,1,600,13,mock_seed,2026-05-18
parnell,two_bedroom,2,830,11,mock_seed,2026-05-18
parnell,three_bedroom,3,1120,7,mock_seed,2026-05-18
grey-lynn,flat_room,1,370,19,mock_seed,2026-05-18
grey-lynn,one_bedroom,1,570,15,mock_seed,2026-05-18
grey-lynn,two_bedroom,2,790,13,mock_seed,2026-05-18
grey-lynn,three_bedroom,3,1030,8,mock_seed,2026-05-18
onehunga,flat_room,1,320,23,mock_seed,2026-05-18
onehunga,one_bedroom,1,500,18,mock_seed,2026-05-18
onehunga,two_bedroom,2,660,17,mock_seed,2026-05-18
onehunga,three_bedroom,3,810,12,mock_seed,2026-05-18
avondale,flat_room,1,310,26,mock_seed,2026-05-18
avondale,one_bedroom,1,500,20,mock_seed,2026-05-18
avondale,two_bedroom,2,620,22,mock_seed,2026-05-18
avondale,three_bedroom,3,760,15,mock_seed,2026-05-18
henderson,flat_room,1,290,28,mock_seed,2026-05-18
henderson,one_bedroom,1,470,20,mock_seed,2026-05-18
henderson,two_bedroom,2,590,24,mock_seed,2026-05-18
henderson,three_bedroom,3,720,17,mock_seed,2026-05-18
new-lynn,flat_room,1,300,25,mock_seed,2026-05-18
new-lynn,one_bedroom,1,480,19,mock_seed,2026-05-18
new-lynn,two_bedroom,2,610,21,mock_seed,2026-05-18
new-lynn,three_bedroom,3,750,15,mock_seed,2026-05-18
glen-eden,flat_room,1,280,22,mock_seed,2026-05-18
glen-eden,one_bedroom,1,450,16,mock_seed,2026-05-18
glen-eden,two_bedroom,2,580,18,mock_seed,2026-05-18
glen-eden,three_bedroom,3,710,14,mock_seed,2026-05-18
takapuna,flat_room,1,380,20,mock_seed,2026-05-18
takapuna,one_bedroom,1,590,17,mock_seed,2026-05-18
takapuna,two_bedroom,2,800,14,mock_seed,2026-05-18
takapuna,three_bedroom,3,1050,9,mock_seed,2026-05-18
devonport,flat_room,1,370,14,mock_seed,2026-05-18
devonport,one_bedroom,1,580,11,mock_seed,2026-05-18
devonport,two_bedroom,2,790,10,mock_seed,2026-05-18
devonport,three_bedroom,3,1040,6,mock_seed,2026-05-18
albany,flat_room,1,330,24,mock_seed,2026-05-18
albany,one_bedroom,1,520,20,mock_seed,2026-05-18
albany,two_bedroom,2,690,18,mock_seed,2026-05-18
albany,three_bedroom,3,850,13,mock_seed,2026-05-18
birkenhead,flat_room,1,340,18,mock_seed,2026-05-18
birkenhead,one_bedroom,1,530,15,mock_seed,2026-05-18
birkenhead,two_bedroom,2,700,13,mock_seed,2026-05-18
birkenhead,three_bedroom,3,870,9,mock_seed,2026-05-18
manukau,flat_room,1,300,25,mock_seed,2026-05-18
manukau,one_bedroom,1,480,19,mock_seed,2026-05-18
manukau,two_bedroom,2,620,21,mock_seed,2026-05-18
manukau,three_bedroom,3,760,16,mock_seed,2026-05-18
papatoetoe,flat_room,1,285,26,mock_seed,2026-05-18
papatoetoe,one_bedroom,1,460,19,mock_seed,2026-05-18
papatoetoe,two_bedroom,2,600,23,mock_seed,2026-05-18
papatoetoe,three_bedroom,3,730,18,mock_seed,2026-05-18
mangere,flat_room,1,280,22,mock_seed,2026-05-18
mangere,one_bedroom,1,450,16,mock_seed,2026-05-18
mangere,two_bedroom,2,580,18,mock_seed,2026-05-18
mangere,three_bedroom,3,700,15,mock_seed,2026-05-18
botany-downs,flat_room,1,330,20,mock_seed,2026-05-18
botany-downs,one_bedroom,1,520,15,mock_seed,2026-05-18
botany-downs,two_bedroom,2,700,16,mock_seed,2026-05-18
botany-downs,three_bedroom,3,880,11,mock_seed,2026-05-18
howick,flat_room,1,335,18,mock_seed,2026-05-18
howick,one_bedroom,1,530,14,mock_seed,2026-05-18
howick,two_bedroom,2,710,15,mock_seed,2026-05-18
howick,three_bedroom,3,900,10,mock_seed,2026-05-18
