name,slug,latitude,longitude,area
Auckland CBD,auckland-cbd,-36.848461,174.763336,Central Auckland
Mount Eden,mount-eden,-36.8783,174.7645,Central Auckland
Newmarket,newmarket,-36.8706,174.7775,Central Auckland
Ponsonby,ponsonby,-36.8475,174.7391,Central Auckland
Parnell,parnell,-36.8575,174.7820,Central Auckland
Grey Lynn,grey-lynn,-36.8580,174.7360,Central Auckland
Onehunga,onehunga,-36.9222,174.7856,Central Auckland
Avondale,avondale,-36.8974,174.6972,West Auckland
Henderson,henderson,-36.8813,174.6308,West Auckland
New Lynn,new-lynn,-36.9083,174.6840,West Auckland
Glen Eden,glen-eden,-36.9108,174.6537,West Auckland
Takapuna,takapuna,-36.7878,174.7732,North Shore
Devonport,devonport,-36.8282,174.7960,North Shore
Albany,albany,-36.7284,174.7013,North Shore
Birkenhead,birkenhead,-36.8126,174.7242,North Shore
Manukau,manukau,-36.9928,174.8790,South Auckland
Papatoetoe,papatoetoe,-36.9790,174.8510,South Auckland
Mangere,mangere,-36.9689,174.7988,South Auckland
Botany Downs,botany-downs,-36.9297,174.9131,East Auckland
Howick,howick,-36.8944,174.9327,East Auckland
